t,y_t,h_mean,vol,ess,loglik,scenario,sigma
178,0.01690987,-5.721641,0.21013579,393.37,1.9952,Gradual Build,30.0
179,-0.04755685,-5.602615,0.21184334,412.37,1.2400,Gradual Build,30.0
180,-0.00124209,-5.733148,0.23266336,151.61,2.5241,Gradual Build,30.0
181,0.02011078,-5.793936,0.24395415,394.60,1.9347,Gradual Build,30.0
182,-0.00972028,-5.831772,0.27067652,346.84,2.2743,Gradual Build,30.0
183,0.02475914,-5.786376,0.22935116,394.15,1.8146,Gradual Build,30.0
184,-0.00255313,-5.928468,0.22433043,273.92,2.5513,Gradual Build,30.0
185,0.02647468,-5.894785,0.23601255,400.78,1.7987,Gradual Build,30.0
186,0.01965203,-5.929092,0.28960451,384.19,1.9968,Gradual Build,30.0
187,0.01882421,-5.952951,0.27327460,394.44,2.0606,Gradual Build,30.0
188,0.03852697,-5.839357,0.26069725,405.07,1.4015,Gradual Build,30.0
189,-0.03131405,-5.821916,0.30077547,398.26,1.6264,Gradual Build,30.0
190,-0.04892872,-5.605762,0.33809057,374.75,1.0590,Gradual Build,30.0
191,0.07831977,-5.375626,0.25181091,349.46,0.4364,Gradual Build,30.0
192,0.04305470,-5.394075,0.19418097,407.69,1.3485,Gradual Build,30.0
193,-0.05028506,-5.416373,0.21118866,417.03,1.2253,Gradual Build,30.0
194,-0.01081727,-5.525982,0.21450520,357.21,2.0929,Gradual Build,30.0
195,0.00250424,-5.693596,0.24657008,243.26,2.4073,Gradual Build,30.0
196,0.04198642,-5.629547,0.23988160,412.44,1.3848,Gradual Build,30.0
197,-0.01445501,-5.691756,0.24251331,386.30,2.0914,Gradual Build,30.0
198,0.02809525,-5.684544,0.25874713,412.45,1.7453,Gradual Build,30.0
199,0.02709547,-5.724144,0.24370003,409.15,1.7728,Gradual Build,30.0
200,-0.00219541,-5.800412,0.18851398,247.33,2.4307,Gradual Build,30.0
201,-0.01130787,-5.900291,0.18078557,367.86,2.2277,Gradual Build,30.0
